station_id,station_name,station_latitude,station_longitude,trip_date,start_trips,end_trips,net_flow,neighborhood,borough
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,2015-11-10,113,103,-10,Greenwich Village and Soho,Manhattan
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,2015-12-21,204,197,-7,Greenwich Village and Soho,Manhattan
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,2015-10-19,214,228,14,Greenwich Village and Soho,Manhattan
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,2015-11-08,230,223,-7,Greenwich Village and Soho,Manhattan
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,2015-11-05,251,256,5,Greenwich Village and Soho,Manhattan
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,2015-12-24,136,129,-7,Greenwich Village and Soho,Manhattan
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,2015-12-07,194,182,-12,Greenwich Village and Soho,Manhattan
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,2015-11-19,105,129,24,Greenwich Village and Soho,Manhattan
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,2015-12-23,77,87,10,Greenwich Village and Soho,Manhattan
3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,2015-10-29,169,156,-13,Upper West Side,Manhattan
3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,2015-12-16,39,44,5,Upper West Side,Manhattan
3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,2015-10-07,160,140,-20,Upper West Side,Manhattan
3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,2015-12-15,44,42,-2,Upper West Side,Manhattan
3222,Hanson Pl & St Felix St,40.685159599891776,-73.977113664150238,2015-09-21,90,80,-10,Northwest Brooklyn,Brooklyn
3222,Hanson Pl & St Felix St,40.685159599891776,-73.977113664150238,2015-09-16,60,74,14,Northwest Brooklyn,Brooklyn
3222,Hanson Pl & St Felix St,40.685159599891776,-73.977113664150238,2015-10-05,62,66,4,Northwest Brooklyn,Brooklyn
3222,Hanson Pl & St Felix St,40.685159599891776,-73.977113664150238,2015-12-14,59,66,7,Northwest Brooklyn,Brooklyn
3222,Hanson Pl & St Felix St,40.685159599891776,-73.977113664150238,2015-10-26,66,85,19,Northwest Brooklyn,Brooklyn
3222,Hanson Pl & St Felix St,40.685159599891776,-73.977113664150238,2015-09-09,83,69,-14,Northwest Brooklyn,Brooklyn
3222,Hanson Pl & St Felix St,40.685159599891776,-73.977113664150238,2015-09-08,74,72,-2,Northwest Brooklyn,Brooklyn
3222,Hanson Pl & St Felix St,40.685159599891776,-73.977113664150238,2015-10-20,91,81,-10,Northwest Brooklyn,Brooklyn
3222,Hanson Pl & St Felix St,40.685159599891776,-73.977113664150238,2015-10-28,47,41,-6,Northwest Brooklyn,Brooklyn
3222,Hanson Pl & St Felix St,40.685159599891776,-73.977113664150238,2015-12-17,48,43,-5,Northwest Brooklyn,Brooklyn
